"model","case","R","Var_a","method","n","mean_MSPE","MCSE","lower","upper","R_factor","Var_a_label"
"Random-slope model (RS)",2,20,0.5,"LM",20,14.2221353095126,0.105199008875273,14.0159452521171,14.4283253669082,"20","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"ORACLE",20,10.7316778199642,0.0584326939552773,10.6171497398119,10.8462059001165,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"CIRG",20,14.2169559076055,0.0835037332957747,14.0532885903458,14.3806232248652,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"KM",20,14.2161531117533,0.0833514766199567,14.0527842175782,14.3795220059284,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"BLM",20,14.2170093288444,0.0835239563372267,14.0533023744234,14.3807162832653,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"CPF",20,14.246516652891,0.0818098565242577,14.0861693341034,14.4068639716785,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"OBS",20,14.2309640692887,0.0809372720062582,14.0723270161565,14.389601122421,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,50,0.5,"LM",20,14.2170093288444,0.0835239563372268,14.0533023744234,14.3807162832653,"50","Var(a) = 0.50"
"Random-slope model (RS)",2,10,2.25,"ORACLE",20,9.43314092126438,0.0549226079196533,9.32549260974186,9.5407892327869,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,10,2.25,"CIRG",20,15.1366255776049,0.252276760761974,14.6421631265114,15.6310880286983,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,10,2.25,"KM",20,15.13768432908,0.25267878294938,14.6424339144992,15.6329347436608,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,10,2.25,"BLM",20,15.1356584860489,0.251990981179949,14.6417561629362,15.6295608091616,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,10,2.25,"CPF",20,15.139846996029,0.251425956873508,14.6470521205569,15.6326418715011,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,10,2.25,"OBS",20,15.1399677188707,0.251743675261127,14.6465501153589,15.6333853223825,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,10,2.25,"LM",20,15.1356584860489,0.251990981179949,14.6417561629362,15.6295608091616,"10","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"ORACLE",20,9.89043460371267,0.0484017012609782,9.79556726924116,9.98530193818419,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"CIRG",20,15.8564618428759,0.179642791852979,15.504361970844,16.2085617149077,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"KM",20,15.8562140478587,0.179918932285648,15.5035729405788,16.2088551551385,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"BLM",20,15.8558690674512,0.179951286226105,15.503164546448,16.2085735884544,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"CPF",20,15.8691315469709,0.180285257961234,15.5157724413669,16.222490652575,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"OBS",20,15.8623802440302,0.180352920683281,15.508888519491,16.2158719685694,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,20,2.25,"LM",20,15.8558690674512,0.179951286226106,15.503164546448,16.2085735884544,"20","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"ORACLE",20,10.7468347773542,0.0583103803782077,10.6325464318129,10.8611231228955,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"CIRG",20,15.7684339571172,0.144828167005763,15.4845707497859,16.0522971644485,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"KM",20,15.7675045961193,0.144687709129534,15.4839166862254,16.0510925060131,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"BLM",20,15.7682775409938,0.144728148653866,15.4846103696322,16.0519447123554,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"CPF",20,15.7963344002629,0.143443056162591,15.5151860101842,16.0774827903416,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"OBS",20,15.78257105653,0.142862126307985,15.5025612889664,16.0625808240937,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,50,2.25,"LM",20,15.7682775409938,0.144728148653866,15.4846103696322,16.0519447123554,"50","Var(a) = 2.25"
"Random-intercept model (RI)",3,10,0.5,"ORACLE",20,8.99990671736231,0.0557346327640184,8.89066683714484,9.10914659757979,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,10,0.5,"CIRG",20,9.34345962972939,0.0781549822860209,9.19027586444879,9.49664339500999,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,10,0.5,"KM",20,9.34869856813576,0.0786100302854033,9.19462290877637,9.50277422749515,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,10,0.5,"BLM",20,9.35319333863214,0.0785777139039221,9.19918101938045,9.50720565788382,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,10,0.5,"CPF",20,9.35222310100027,0.0786094551861136,9.19814856883549,9.50629763316506,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,10,0.5,"OBS",20,9.3515977046782,0.0786313594476332,9.19748024016084,9.50571516919556,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,10,0.5,"LM",20,9.35101856248451,0.0786313645813484,9.19690108790506,9.50513603706395,"10","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"ORACLE",20,9.00672975211862,0.0528020664896729,8.90323770179887,9.11022180243838,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"CIRG",20,9.37280583303905,0.0662690915428888,9.24291841361499,9.50269325246312,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"KM",20,9.39279739574651,0.0672370641851056,9.2610127499437,9.52458204154932,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"BLM",20,9.42466442255683,0.0695767914251042,9.28829391136363,9.56103493375003,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"CPF",20,9.41765427516494,0.06928164051804,9.28186225974958,9.5534462905803,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"OBS",20,9.41052282848402,0.0687442945279306,9.27578401120928,9.54526164575877,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,20,0.5,"LM",20,9.40757940199772,0.0685852680516126,9.27315227661656,9.54200652737888,"20","Var(a) = 0.50"
"Random-intercept model (RI)",3,50,0.5,"ORACLE",20,9.04948657709779,0.0509959000140825,8.94953461307019,9.14943854112539,"50","Var(a) = 0.50"
"Random-intercept model (RI)",3,50,0.5,"CIRG",20,9.41077966355154,0.0500354624638834,9.31271015712232,9.50884916998075,"50","Var(a) = 0.50"
