"model","case","R_setting","Var_a_setting","MSPE_mean","rank","selected_K_mean","group_ARI_mean","n"
"RI",9,10,2.25,11.5599058687777,7,4.3,9.35775900654174e-06,50
"RI",9,20,0.5,10.0368154476801,7,5.6,-0.00010895764677167,50
"RI",9,20,2.25,11.7998712043481,7,5.64,-9.13636893913377e-05,50
"RI",9,50,0.5,10.0140012634425,7,4.82,-5.82412285663122e-06,50
"RI",9,50,2.25,11.6778942731555,7,5.06,5.43924605029115e-05,50
"RS",1,10,0.5,12.0706739331185,7,3.2,0.00013438134138278,50
"RS",1,10,2.25,13.9193786342818,7,3.58,7.82587166866983e-06,50
"RS",1,20,0.5,12.3905404720492,7,3.6,-2.04389785384808e-05,50
"RS",1,20,2.25,14.1897097369068,7,3.3,4.49746729620605e-05,50
"RS",1,50,0.5,12.4380690101074,7,3.52,-6.27688504448279e-05,50
"RS",1,50,2.25,14.2904923502073,7,3.62,9.75335208782144e-06,50
"RS",2,10,0.5,13.7349967069963,7,4.74,4.68241990981264e-05,50
"RS",2,10,2.25,15.286257170766,7,5.78,3.13841162824739e-05,50
"RS",2,20,0.5,14.1419580062697,7,4.72,-0.000100642557911689,50
"RS",2,20,2.25,15.8151831822792,7,5.1,7.06934202823608e-05,50
"RS",2,50,0.5,14.3573298972723,7,5.06,3.28344753700572e-05,50
"RS",3,10,0.5,12.6108962666319,7,6.18,0.124575292997957,50
"RS",3,10,2.25,13.9074837665383,7,5.66,0.132109219957245,50
"RS",3,20,0.5,12.4379821981001,7,6.16,0.153576241145111,50
"RS",3,20,2.25,14.0609610264974,7,6.54,0.159899430757963,50
"RS",3,50,0.5,15.7995358942153,7,4.62,0.112658330419141,50
"RS",3,50,2.25,17.587651928683,7,5.44,0.115474876462372,50
"RS",4,10,0.5,18.2727615563258,4,4.56,0.217656789636612,50
"RS",4,10,2.25,19.6969595688124,4,4.48,0.220294826014187,50
"RS",4,20,0.5,17.8262956257072,5,5.12,0.230556988060742,50
"RS",4,20,2.25,19.1838800802653,5,5.26,0.238252552178702,50
"RS",4,50,0.5,79.2426471528626,5,7.38,0.190664525663589,50
"RS",5,10,0.5,14.9216908755414,7,4.66,1.36245304264081e-05,50
"RS",5,10,2.25,16.4708186790528,7,4.4,9.3280590034361e-06,50
"RS",5,20,0.5,15.3539634655,7,4.56,1.36423697629342e-05,50
"RS",6,10,0.5,18.0547293239247,7,3.18,-8.62891793482125e-06,50
"RS",6,10,2.25,19.4780600716419,7,3.4,-1.81352916374431e-05,50
"RS",6,20,0.5,17.8783888701976,7,3.38,-4.30520488510786e-05,50
"RS",7,10,0.5,32.841958037993,7,5.66,0.000225497434647348,50
"RS",7,10,2.25,34.807366034686,7,5.06,8.4792114477615e-05,50
"RS",7,20,0.5,31.8151319226948,7,5.16,1.72009311792382e-05,50
"RS",7,20,2.25,33.8804555359196,7,5.26,-9.28625022216276e-05,50
"RS",8,10,0.5,23.8597683427668,7,2.86,-9.23324475762419e-05,50
"RS",8,10,2.25,25.0284155660724,7,3.94,-0.000316580151167059,50
"RS",8,20,0.5,23.6914776780224,7,3.28,8.55940052541957e-05,50
"RS",8,20,2.25,25.1920279017593,7,3.52,-9.19624034496116e-06,50
"RS",8,50,0.5,25.179571145939,7,3.6,-1.59505625934796e-08,50
"RS",8,50,2.25,26.9383845190563,7,3.58,6.12554819663507e-05,50
"RS",9,10,0.5,18.6912805059254,7,4.74,-0.000105914073264594,50
"RS",9,10,2.25,20.252556120615,7,4.76,2.82099550160402e-05,50
"RS",9,20,0.5,19.1783696322674,7,6.2,3.46210484614773e-05,50
"RS",9,20,2.25,20.9208915226355,7,5.6,-8.91912006891572e-05,50
