"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file","model"
"CPF","contam",0.25,50,1,9.88637280695249,0.0695270330352736,0.00101228352295299,2.55096762284355e-05,0.0506141761476497,0.00127548381142178,0.226581199397394,0.0580511857854705,1.07376418801201,0.0637580376721145,NA,NA,9.81067454370794,0.0584967550185794,1.58271996642519,0.139762311539601,NA,NA,0.824864862853552,0.109020695567678,NA,NA,9.34,0.101458748026084,0.266799999999639,0.0137790731598565,4.5,0.1,0.557858058922829,0.00426110665418428,5,10,2.25,"RI_case5_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.25042531756507,0.0342755565586165,0.000967430682810537,2.893470454967e-05,0.0483715341405269,0.0014467352274835,0.0286075006322211,0.00612565219098288,0.267184993817787,0.0145944405837315,NA,NA,9.16066117517198,0.0186706917811277,0.0646397142052752,0.00566560715298392,NA,NA,0.0428931550553496,0.00672718215017546,NA,NA,20,0,0.0717800000001444,0.00409233130504029,8.04,0.182857142857143,0.569457397804223,0.000945251283675142,5,20,0.5,"RI_case5_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.97225260625214,0.0556430990495949,0.00103643590026469,3.2122918429566e-05,0.0518217950132347,0.0016061459214783,0.117076813804323,0.0250618989349033,1.19653482991035,0.0578762862034133,NA,NA,9.88273148078374,0.0475118855337143,1.27392242532229,0.100929939006047,NA,NA,0.889826451248125,0.0941121643208455,NA,NA,20,0,0.0444600000011269,0.00139772701801261,5,0.0755928946018454,0.569457397804223,0.000945251283675142,5,20,2.25,"RI_case5_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.23247954072268,0.0374613715168123,0.00454183244488617,0.000106628837779158,0.227091622244308,0.00533144188895789,0.274736998698711,0.0524515181993142,0.232469596179283,0.0143245814310179,NA,NA,9.14251260622272,0.019946128532242,0.0816270049939955,0.00698657550367585,NA,NA,0.0398043970602036,0.00716023121229101,NA,NA,10,0,0.0649999999996094,0.00187093777641665,6.7,0.196396101212393,0.574747545000269,0.00158701924397907,6,10,0.5,"RI_case6_R10_vara0.5_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.89361525615079,0.070731720600723,0.00489298688139074,0.000111257680952492,0.244649344069537,0.00556288404762459,0.50103476686142,0.109547703358176,1.0743397344623,0.0638558204213738,NA,NA,9.80728004669291,0.0591408298034854,1.58197778424683,0.138303355933772,NA,NA,0.82308532353091,0.110573528827954,NA,NA,9.44,0.0996319758523583,0.288699999999226,0.0146601013444102,4.52,0.0957888835099441,0.563885409843564,0.00303269169205085,6,10,2.25,"RI_case6_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.25415343743742,0.0334468660337951,0.00444261314676974,0.000140901468386898,0.222130657338487,0.00704507341934488,0.205243746285255,0.0438926930462227,0.267141909605976,0.0145369140919163,NA,NA,9.16120663024841,0.0180706438923075,0.0645776619564236,0.00568733380139916,NA,NA,0.0419884379994957,0.0066390830490049,NA,NA,20,0,0.0746799999999348,0.00213645519894701,8.02,0.184036376173576,0.569457397804223,0.000945251283675142,6,20,0.5,"RI_case6_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.97547624379108,0.0552464231337604,0.004777696394362,0.00016073635924279,0.2388848197181,0.00803681796213949,0.305748215639927,0.0603822295299897,1.19576101616891,0.0576108479698182,NA,NA,9.88308594638761,0.0466938161231436,1.27405131541549,0.101073038535242,NA,NA,0.886676099450262,0.0920954830228198,NA,NA,20,0,0.0523800000021583,0.00176077209418095,5.08,0.0747239818892687,0.569457397804223,0.000945251283675142,6,20,2.25,"RI_case6_R20_vara2.25_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.22434979202365,0.0383081869458373,0.00123184924297571,3.67367505596977e-05,0.0615924621487856,0.00183683752798488,0.0569848145596791,0.0143971459742787,0.239934567118533,0.0151513763956954,NA,NA,9.14091176881173,0.0196593841182479,0.0788826755073426,0.00715494754752099,NA,NA,0.0387942044011831,0.00694954612256639,NA,NA,9.42,0.0861417910381791,0.33752000000003,0.0164863886962478,6.52,0.167185586723746,0.557647467370517,0.00428087598594908,7,10,0.5,"RI_case7_R10_vara0.5_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.88695029720165,0.0717275593173738,0.00132052777288267,3.88626293714651e-05,0.0660263886441337,0.00194313146857326,0.223189081235476,0.0611917167502703,1.06618254126645,0.0647761556801849,NA,NA,9.80668864621864,0.0586017722818563,1.60702534249284,0.140705338315996,NA,NA,0.819020789952206,0.108901485244228,NA,NA,9.38,0.098519655140381,0.222420000000275,0.00810905716856674,4.56,0.0910707282886242,0.561052779447045,0.00347543569041541,7,10,2.25,"RI_case7_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.24999706882349,0.0326931307596069,0.00116877961344431,3.32475447306235e-05,0.0584389806722153,0.00166237723653118,0.0288034728223303,0.00621262756669229,0.26676013313304,0.014613634092901,NA,NA,9.16127998255445,0.0186101592604629,0.064865192264776,0.00570296995152429,NA,NA,0.0429817961300522,0.0067746863629109,NA,NA,20,0,0.0686400000011781,0.00250285714304705,8.04,0.185075825608019,0.569457397804223,0.000945251283675142,7,20,0.5,"RI_case7_R20_vara0.5_contam_rho25.rds","RI"
