"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file"
"ORACLE","contam",0.25,50,1,9.04883707513623,0.0317946104467421,0.00367427818892724,0.000110710491230187,0.183713909446362,0.00553552456150935,0.029704354365771,0.0066327995645353,0.478527268518432,0.0251481924831894,NA,NA,8.9474359515574,0.0164296867470104,0.0314502258706851,0.00800383910930065,NA,NA,0.015989774912316,0.00248297075829081,NA,NA,20,0,0.048179999999993,0.000951342767413551,6.56,0.154285714285714,1,0,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
"BLM","contam",0.25,50,1,9.98895583724067,0.0552918036727018,0.00408275838967933,0.000125997600805538,0.204137919483966,0.0062998800402769,0.198257670270209,0.0444099607560377,1.7228949220201,0.0989614826187599,NA,NA,9.87409721264327,0.0474564891170054,0.757715140295248,0.132295048594055,NA,NA,0.874399736757046,0.0923228535637234,NA,NA,7,0,0.0737400000002526,0.00365522382702996,4.52,0.0914285714285714,0.273225676477573,0.00407235474816909,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"CIRG","contam",0.25,50,1,12.4819046268938,0.134754194555798,0.00910987976122519,0.000260008034958407,0.455493988061259,0.0130004017479204,0.157579787671896,0.032001810459656,8.16221244965613,0.141691355811625,NA,NA,3.12047674923932,0.0895294001112687,35.938001625144,1.71195770741381,NA,NA,34.9615538169653,1.01562272084802,NA,NA,3.7,0.221773924232286,207.252579999999,42.840012613044,3.76,0.0610118757258932,8.13818034128722e-06,6.63509761550231e-05,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"CPF","contam",0.25,50,1,9.97535517694623,0.0546477564511553,0.00407716816675274,0.000125861509725674,0.203858408337637,0.00629307548628372,0.133062903037638,0.0289754481128003,1.3225363979827,0.0671738253710916,NA,NA,9.875940844888,0.0470740739353008,1.08129255100122,0.10131909757187,NA,NA,0.875854817149539,0.0914515349291491,NA,NA,14.84,0.21065495532762,0.583480000001728,0.030347339459066,4.76,0.0883407133356589,0.479300666649296,0.00657162936343683,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"KM","contam",0.25,50,1,11.1456137770717,0.108652703638004,0.00459565149836935,0.000165135345082635,0.229782574918467,0.00825676725413177,0.155059346000243,0.0283398677177723,0.000166082929970183,1.50785844793781e-06,NA,NA,11.0695679133571,0.100158694192876,5.06175265451008,6.78484296396566e-06,NA,NA,4.7746677850958,0.456431435365464,NA,NA,2,0,245.225980000001,5.14787617182084,23.64,1.221160371557,2.69560668569231e-05,4.64910761132212e-05,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"LM","contam",0.25,50,1,11.145631444129,0.1086542890349,0.00459546410370588,0.000165191567038636,0.229773205185294,0.0082595783519318,0.15505336055925,0.0283387464421686,0,0,NA,NA,11.0694563107114,0.100157125872073,5.0625,0,NA,NA,4.77419046522794,0.456398640733712,NA,NA,1,0,0.0177799999990384,0.00468843910318804,1,0,NA,NA,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"OBS","contam",0.25,50,1,9.97436349495871,0.0546637114870415,0.00407258794162853,0.000125959537834124,0.203629397081427,0.00629797689170622,0.117486973624741,0.0250643043265439,1.19333225493697,0.0573959409322845,NA,NA,9.87977090971722,0.0470876344138797,1.2779671311962,0.100346525667797,NA,NA,0.882641874004736,0.0919764621185837,NA,NA,20,0,0.0577399999991758,0.00415974979629125,5.04,0.0697517463756212,0.569457397804223,0.000945251283675142,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"ORACLE","contam",0.25,50,1,9.0501502920946,0.0318525031035055,0.00367524667715458,0.000110629462616414,0.183762333857729,0.0055314731308207,0.119493626719702,0.0260548933546992,2.13691160165057,0.103579395744409,NA,NA,8.94746455153627,0.0164314629105393,0.538494855757304,0.145249404070779,NA,NA,0.0159896290409266,0.0024885535473907,NA,NA,20,0,0.0523800000005576,0.00184277740691589,5.02,0.0450849538230271,1,0,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds"
"BLM","contam",0.25,50,1,9.29148938799929,0.0326929976627875,0.00363256391658468,0.000101360667214024,0.181628195829234,0.00506803336070122,0.0228896325273345,0.00416415859700356,0.526190566848954,0.0182534095661752,NA,NA,9.11250010504988,0.0190627466267046,0.0170121068706059,0.00364859043465833,NA,NA,0.0304623007749762,0.00577770958440351,NA,NA,9.98,0.02,0.0943000000008033,0.00283624500247557,6.84,0.234494680327808,0.178972470518683,0.0029638325499513,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
"CIRG","contam",0.25,50,1,10.5872525178116,0.0537518120961161,0.0074288167069354,0.000218110614058648,0.37144083534677,0.0109055307029324,0.0213053208783446,0.00405558737884996,6.85562277609472,0.101887918012745,NA,NA,2.7184503445348,0.076319287657845,40.9026171160255,1.31467833470305,NA,NA,39.7432731238364,0.935317571904064,NA,NA,3.54,0.183414329665189,181.02952,31.3239720137559,3.58,0.0705083581671604,-3.46292719105661e-05,4.34592514288851e-05,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
"CPF","contam",0.25,50,1,9.38493946018561,0.0329950496621914,0.00364337729438826,0.000103582727537669,0.182168864719413,0.00517913637688345,0.105576118005078,0.0230799507235645,0.601765974618336,0.0428908555292936,NA,NA,9.26715168653256,0.0209794763869889,0.100497962503722,0.0329871969727155,NA,NA,0.0929368066613319,0.0125097392572254,NA,NA,5.54,0.315853233806657,1.01673999999999,0.0161452289026731,6,0.121218305346265,0.0205461678677618,0.00254873170961423,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
